Ariana Grande Songs,release,song_length,mood,feature 
God is a Woman,2018,197,Hopeful,No
The Way,2013,216,Love,Yes
Right there,2013,247,Love,Yes
Honeymoon Avenue,2013,339,Love,No
Into You,2016,244,Love,No
Love Me Harder,2014,237,Love,Yes
Problem,2014,194,Hopeful,Yes
7 Rings,2018,180,Happiness,No
Dangerous Woman,2016,235,Love,No
POV,2020,201,Hopeful,No
Let Me Love You,2016,224,Hopeful,Yes
One Last Time,2014,196,Sadness,No
Side to Side,2016,226,Hopeful,Yes
Break Free,2014,214,Happiness,Yes
Best Mistake,2014,232,Sadness,Yes
Everyday,2016,194,Happiness,Yes
Moonlight,2016,201,Love,No
"Break up with your girlfriend, i'm bored",2019,190,Hopeful,No
Imagine,2018,212,Hopeful,No
Santa Tell Me,2014,203,Love,No
Sweetener,2018,208,Happiness,No
No Tears Left To Cry,2018,205,Happiness,No
34+35,2020,173,Hopeful,No
Needy,2019,170,Sadness,No
Positions,2020,171,Hopeful,No
"Yes,And?",2024,214,Happiness,No
Get Well Soon,2018,320,Sadness,No
Better Left Unsaid,2013,210,Sadness,No
Daydreamin',2013,210,Love,No
